filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
006-bl.png,313401,{},38,0,"{""name"":""polygon"",""all_points_x"":[405,394,394,406,406],""all_points_y"":[24,23,16,14,18]}","{""object_name"":""crystal"",""object_color"":""blue""}"
006-bl.png,313401,{},38,1,"{""name"":""polygon"",""all_points_x"":[471,478,480,477,472],""all_points_y"":[177,175,170,165,170]}","{""object_name"":""crystal"",""object_color"":""blue""}"
006-bl.png,313401,{},38,2,"{""name"":""polygon"",""all_points_x"":[440,444,446,443,439],""all_points_y"":[188,186,176,175,179]}","{""object_name"":""crystal"",""object_color"":""blue""}"
006-bl.png,313401,{},38,3,"{""name"":""polygon"",""all_points_x"":[472,470,472,479,479,476],""all_points_y"":[188,191,196,194,190,186]}","{""object_name"":""crystal"",""object_color"":""blue""}"
006-bl.png,313401,{},38,4,"{""name"":""polygon"",""all_points_x"":[607,611,614,613,610,606],""all_points_y"":[243,245,243,237,236,238]}","{""object_name"":""crystal"",""object_color"":""blue""}"
006-bl.png,313401,{},38,5,"{""name"":""polygon"",""all_points_x"":[575,568,567,571,577,577],""all_points_y"":[244,244,239,235,238,238]}","{""object_name"":""crystal"",""object_color"":""blue""}"
006-bl.png,313401,{},38,6,"{""name"":""polygon"",""all_points_x"":[514,507,508,516],""all_points_y"":[217,222,211,208]}","{""object_name"":""crystal"",""object_color"":""blue""}"
006-bl.png,313401,{},38,7,"{""name"":""polygon"",""all_points_x"":[553,559,560,558,554],""all_points_y"":[174,176,172,167,170]}","{""object_name"":""crystal"",""object_color"":""blue""}"
006-bl.png,313401,{},38,8,"{""name"":""polygon"",""all_points_x"":[491,510,507,501,487],""all_points_y"":[349,330,322,326,345]}","{""object_name"":""crystal"",""object_color"":""blue""}"
006-bl.png,313401,{},38,9,"{""name"":""polygon"",""all_points_x"":[585,592,591,580,582],""all_points_y"":[79,78,73,75,78]}","{""object_name"":""crystal"",""object_color"":""blue""}"
